started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2026-07-01 05:16:45.221000+00:00,2026-07-01 05:21:11.853000+00:00,267,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.371787,5.349553
2026-07-01 05:17:08.020000+00:00,2026-07-01 05:29:26.244000+00:00,738,2313,Solheimsviken,Utenfor Beddingen,60.377082,5.335575,22,Skur 11,Nord for skur 11,60.396384,5.324169
2026-07-01 05:17:09.071000+00:00,2026-07-01 05:24:22.768000+00:00,434,645,Odontologen,Utenfor Odentologen,60.381038,5.359052,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:17:40.946000+00:00,2026-07-01 05:23:05.463000+00:00,325,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817
2026-07-01 05:18:16.800000+00:00,2026-07-01 05:23:44.655000+00:00,328,792,Busstasjonen 2 Vest,Vis a vis Hotel Scandic Ørnen,60.388284,5.332873,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38175,5.331699
2026-07-01 05:18:17.113000+00:00,2026-07-01 05:27:49.818000+00:00,573,98,Brann Stadion,Bak Frydenbøtribunen,60.367425,5.355191,157,Florida Bybanestopp,ved Florida bybanestopp,60.382255,5.332332
2026-07-01 05:18:36.819000+00:00,2026-07-01 05:25:07.656000+00:00,391,646,Bjørnsonsgate,Ved Årstad VGS,60.373986,5.342082,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-07-01 05:19:18.813000+00:00,2026-07-01 05:34:56.924000+00:00,938,790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.387856,5.334459,75,Akvariet,Ved Akvariet og Havforskningsinstituttet,60.399817,5.304564
2026-07-01 05:19:48.982000+00:00,2026-07-01 05:26:34.640000+00:00,406,7,Neumanns gate,Ved Konsertpaleet,60.391386,5.319195,301,Lars Hilles,Lars Hilles gate 18,60.388118,5.331487
2026-07-01 05:20:37.992000+00:00,2026-07-01 05:28:44.229000+00:00,486,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817,2336,Møllestranden,Ved badebrygge,60.380044,5.350824
2026-07-01 05:20:44.879000+00:00,2026-07-01 05:33:25.877000+00:00,761,2336,Møllestranden,Ved badebrygge,60.380044,5.350824,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656,5.322143
2026-07-01 05:23:49.656000+00:00,2026-07-01 05:29:27.122000+00:00,337,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-07-01 05:24:24.889000+00:00,2026-07-01 05:34:32.713000+00:00,608,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.371787,5.349553,804,Stenersen,Til høyre for inngang,60.390174,5.324792
2026-07-01 05:25:34.571000+00:00,2026-07-01 05:34:07.211000+00:00,513,814,Nykirken,i Strandgaten,60.396949,5.313495,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-07-01 05:25:38.606000+00:00,2026-07-01 05:34:18.405000+00:00,520,1895,Kirkegaten,Ved Kirkegaten 1,60.405688,5.325659,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395144,5.320002
2026-07-01 05:27:15.724000+00:00,2026-07-01 05:36:59.199000+00:00,583,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:28:44.004000+00:00,2026-07-01 05:41:06.730000+00:00,743,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408097,5.325511,5255,Tollbodalmenningen,Ved siden av lekeplass,60.399223,5.310526
2026-07-01 05:29:04.577000+00:00,2026-07-01 05:38:54.402000+00:00,590,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251,34,Thormøhlens gate 41,"Ved ""Småpudden"" bro",60.381602,5.325963
2026-07-01 05:29:16.575000+00:00,2026-07-01 05:39:01.266000+00:00,585,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323,5.330654
2026-07-01 05:29:21.906000+00:00,2026-07-01 05:37:53.020000+00:00,511,140,Sandviksbodene,Sjøgaten 2A,60.405695,5.323374,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.392966,5.323538
2026-07-01 05:29:56.360000+00:00,2026-07-01 05:39:10.004000+00:00,554,645,Odontologen,Utenfor Odentologen,60.381038,5.359052,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223
2026-07-01 05:32:02.829000+00:00,2026-07-01 05:39:07.383000+00:00,425,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251
2026-07-01 05:33:03.519000+00:00,2026-07-01 05:42:26.957000+00:00,563,3397,Kristianborg bybanestopp,"Under broen, ved kunstverk",60.357797,5.34207,641,Krohnviken,Ved Solheimsviken bobåthavn,60.378107,5.331021
2026-07-01 05:33:58.646000+00:00,2026-07-01 05:46:43.614000+00:00,765,1893,Haukelandshallen,Nord for inngang til hall,60.370494,5.353846,223,Rådhuset,Ved Festplassen,60.391484,5.328519
2026-07-01 05:34:56.334000+00:00,2026-07-01 05:44:50.533000+00:00,594,156,Allehelgens plass,ved Politihuset,60.392651,5.328977,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:38:29.087000+00:00,2026-07-01 05:52:56.493000+00:00,867,1895,Kirkegaten,Ved Kirkegaten 1,60.405688,5.325659,5356,Fløen Bybanestopp,Ved Fløen Bybanestopp,60.381153,5.353251
2026-07-01 05:38:50.689000+00:00,2026-07-01 05:52:29.987000+00:00,819,98,Brann Stadion,Bak Frydenbøtribunen,60.367425,5.355191,157,Florida Bybanestopp,ved Florida bybanestopp,60.382255,5.332332
2026-07-01 05:38:55.603000+00:00,2026-07-01 05:47:38.390000+00:00,523,808,Damsgårdsveien 71,Parkeringsplass ved Festningsmur,60.380263,5.323223,132,Nøstetorget,Sukkerhusbryggen,60.392284,5.314705
2026-07-01 05:39:27.467000+00:00,2026-07-01 05:44:57.834000+00:00,330,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395144,5.320002,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681,5.330978
2026-07-01 05:40:17.975000+00:00,2026-07-01 05:45:43.461000+00:00,325,804,Stenersen,Til høyre for inngang,60.390174,5.324792,217,Nykirkekaien,Langs C. Sundts gate,60.397057,5.314548
2026-07-01 05:41:40.730000+00:00,2026-07-01 05:54:09.619000+00:00,749,1893,Haukelandshallen,Nord for inngang til hall,60.370494,5.353846,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008
2026-07-01 05:42:03.005000+00:00,2026-07-01 05:53:48.586000+00:00,706,810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408097,5.325511,217,Nykirkekaien,Langs C. Sundts gate,60.397057,5.314548
2026-07-01 05:42:14.099000+00:00,2026-07-01 05:56:04.839000+00:00,831,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.39455,5.32705,788,Danmarksplass,Ved bybanestopp,60.376083,5.339851
2026-07-01 05:42:28.119000+00:00,2026-07-01 05:56:05.689000+00:00,818,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.36918,5.349444,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon,60.38891,5.333817
2026-07-01 05:42:48.679000+00:00,2026-07-01 05:54:43.765000+00:00,715,815,Gågaten,Strandgaten 60,60.39507,5.318798,2313,Solheimsviken,Utenfor Beddingen,60.377082,5.335575
2026-07-01 05:43:57.545000+00:00,2026-07-01 05:58:10.165000+00:00,853,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.36918,5.349444,804,Stenersen,Til høyre for inngang,60.390174,5.324792
2026-07-01 05:44:27.706000+00:00,2026-07-01 05:49:52.067000+00:00,324,1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.390665,5.333027,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:45:26.823000+00:00,2026-07-01 05:56:44.158000+00:00,677,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.375141,5.338517,151,Småstrandgaten,ved Xhibiton,60.393098,5.327023
2026-07-01 05:45:38.464000+00:00,2026-07-01 05:50:49.713000+00:00,311,220,Møllendalsplass,ved KMD Fakultetet,60.379895,5.352078,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:46:30.081000+00:00,2026-07-01 05:48:07.142000+00:00,97,1045,Damsgårdsveien 2,Midlertidig plassering frem til våren 2020,60.378022,5.329383,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:47:20.120000+00:00,2026-07-01 05:52:47.036000+00:00,327,788,Danmarksplass,Ved bybanestopp,60.376083,5.339851,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.383162,5.324053
2026-07-01 05:47:42.887000+00:00,2026-07-01 05:50:19.200000+00:00,156,131,Gulating,Gulatings plass ved Rådhuset,60.391984,5.326618,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414,5.33265
2026-07-01 05:48:50.925000+00:00,2026-07-01 05:57:59.759000+00:00,549,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467,5.310008
2026-07-01 05:48:52.190000+00:00,2026-07-01 05:58:41.069000+00:00,589,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.39455,5.32705,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327
2026-07-01 05:49:07.460000+00:00,2026-07-01 05:59:29.437000+00:00,622,75,Akvariet,Ved Akvariet og Havforskningsinstituttet,60.399817,5.304564,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.383934,5.33345
2026-07-01 05:49:30.097000+00:00,2026-07-01 05:57:42.092000+00:00,492,5,Moxy Hotellet,Utenfor Beddingen,60.378783,5.333327,1816,Hansaparken,I gangtunell ved butikk,60.386044,5.349254
